title,median,max,range,var,std,97q,99q,iqr,3sigma_cnt,5sigma_cnt,7sigma_cnt,6iqr_cnt,skew,kurt,flag
10155_0_original,0.003723366543676725,0.5433500449708384,0.5433500449708384,0.0005821496989064537,0.02412777857380272,0.06841168958228963,0.11535538846655315,0.009192592681458604,0.020078075189315557,0.0072482410711289585,0.003523450520687688,0.07187839062202883,6.099533671909201,60.140734285898624,0
10156_0_original,0.0006669610215809353,1.2011669793677757,1.2011669793677757,0.001327049446967776,0.03642868988816062,0.047707383345372494,0.1383425730603367,0.0012147843865429086,0.012516638516347692,0.006599478753034083,0.0044406662117873405,0.08464111139696424,12.38653071492851,204.82455823537566,0
10157_0_original,0.002722166490922988,0.9026036612813804,0.9026036612813804,0.0006945605468069298,0.026354516630113515,0.07241072961787902,0.13473125279842973,0.00722669212318905,0.021722352098969812,0.008881332423574681,0.0034787082918535587,0.09199002248296999,6.465463452060711,76.22692739652068,0
10158_0_original,0.007517479977818725,0.5124297409258975,0.5124297409258975,0.00022178726241540167,0.014892523708740626,0.04171658914896027,0.06783307118966538,0.011301457733100444,0.015525553405442892,0.005838860862853883,0.002829945973758683,0.021946063243140457,6.349008994767548,87.09859145910677,0
10159_0_original,0.004725662705174395,0.18864193466500306,0.18864193466500306,0.00025424870493645567,0.015945178109273525,0.05217473869913347,0.08288739538940111,0.009354079605545207,0.02430621581414078,0.007762776702721446,0.002382523685417389,0.05140882093041465,3.809892756652156,19.657411234147627,0
1015_0_original,0.0015760130482007544,0.4199959764420874,0.4199959764420874,0.0003717193971155861,0.01928002585878935,0.04846545890082608,0.09976467438083654,0.004228140683735135,0.020044518517689958,0.009328754711915974,0.0042281406248252254,0.08986476661334884,6.79662554122116,64.54851108568478,0
10160_0_original,0.004950234118955306,0.5545981549670567,0.5545981549670567,0.00028294479261738295,0.016820962892099337,0.05229542190694632,0.08053898723792838,0.011000212626102943,0.02115188868133466,0.006096128678650127,0.0021364414268296777,0.040279191507924965,5.01368862285795,60.74875423100383,0
10161_0_original,0.0018163370731215116,0.7514641132526165,0.7514641132526165,0.0004536831277961536,0.021299838680049987,0.05029467189126968,0.09747015699818191,0.005142666796581723,0.01781859263319202,0.006744890996745002,0.003221440476057315,0.07559199561526157,9.983136639072596,173.4571333745127,0
10162_0_original,0.0015416636267399433,1.317568863606074,1.317568863606074,0.007491003761651107,0.08655058498734199,0.26340862149012056,0.46276054214932466,0.009761347217686634,0.02626368832563394,0.010089372602096174,0.003646491649981544,0.13870090938580104,5.189572747256182,33.7683845772089,0
10163_0_original,0.005040095780359853,0.9109188881909709,0.9109188881909709,0.002644480811393763,0.05142451566513547,0.12625721532738773,0.26931343758029563,0.012467579672320093,0.020189930761400878,0.009507723627252492,0.004854531828503037,0.079025961678281,6.745305610665483,60.61451964107143,0
10164_0_original,0.009455680407860404,0.8437874296602941,0.8437874296602941,0.002233753926064014,0.04726260600161627,0.14173380658864332,0.23624580692905586,0.025877964698158236,0.021554568740841825,0.007751591145512914,0.003064842675137862,0.05012248185143343,4.697440994079086,33.51772145991084,0
10165_0_original,0.008983302944797888,1.079150567144065,1.079150567144065,0.001568939730545463,0.039609843859140154,0.11116178825220255,0.19091974984272558,0.02094997299193171,0.01914967394100737,0.007237055513920426,0.003355667162559703,0.04688985581816758,5.836252166385486,58.25800407907368,0
10166_0_original,0.000745899437828985,0.426136900003977,0.426136900003977,0.0005207504369472315,0.022819956988286184,0.062389174528603195,0.12666843208810355,0.002311882036806241,0.02348967013791792,0.010816433820650775,0.00482097515687744,0.1305913804096151,5.78180045305424,42.62523850463516,0
10167_0_original,0.001993116562650117,0.6217698066562433,0.6217698066562433,0.0010105421305180045,0.03178902531563377,0.08989993418066972,0.15435222310365804,0.012466350780438729,0.020760394179036027,0.007471952215299605,0.0032326260332658473,0.07837719936018613,5.253705405225626,43.27107504032915,0
10168_0_original,0.009267582792813466,1.3569829867798544,1.3569829867798544,0.0060623036258805356,0.07786079646317867,0.24400742240225837,0.4046220697996531,0.028246602606807197,0.025078019261529513,0.00883659019474055,0.002964172660261071,0.07974183733962707,4.713279207031705,30.312742866764424,0
10169_0_original,0.0013409826400213789,0.48390842394684236,0.48390842394684236,0.0008516266271570559,0.029182642566379348,0.07977205541657892,0.1565842103408748,0.003928906794730924,0.023601525710003245,0.010245970403015626,0.004552521783872663,0.10813078153488216,6.074592188171083,46.48500017884285,0
